21,7308,1413,632,366,235,176,133,94,66,57,65,47,45,43,35,29,21,35,16,23,15,26,18,17,18,11,15,10,12,7,13,10,4,11,6,9,8,5,8,5,4,2,7,3,0,4,4,5,3,3,2,1,3,8,7,5,4,4,4,4
22,6017,1092,432,236,179,117,102,60,57,48,28,32,33,28,24,14,26,17,14,14,9,13,6,6,10,10,9,7,8,8,7,8,8,7,11,5,5,4,7,3,1,1,7,1,4,1,2,3,1,2,4,3,1,1,4,3,0,2,2,1
23,5528,943,436,273,154,122,77,63,53,51,34,23,27,29,20,16,12,22,14,10,14,9,6,6,6,12,13,11,7,9,7,4,3,4,5,11,4,3,2,4,6,2,4,4,6,0,3,5,3,0,2,4,2,7,2,6,0,5,4,5
24,4807,920,401,237,157,112,79,64,55,53,34,31,36,20,23,23,16,17,10,17,8,8,10,15,10,7,8,6,7,6,8,11,8,2,4,5,6,9,4,3,3,4,0,5,0,4,2,3,0,3,2,2,4,3,1,5,1,4,6,2
25,4039,629,249,126,85,56,44,35,39,21,24,18,14,6,15,9,5,4,14,7,1,5,9,7,6,10,5,5,6,5,1,3,4,3,2,1,0,1,1,1,3,1,2,4,4,1,1,0,4,3,2,0,0,2,0,3,1,1,3,2
26,4974,927,427,221,182,127,104,73,55,56,50,38,29,28,16,23,19,12,14,7,19,13,12,15,11,7,4,6,6,9,6,8,4,5,2,7,3,3,4,4,5,0,4,4,3,7,4,2,1,4,1,3,5,3,2,5,7,2,8,3
27,3388,535,222,121,76,63,41,48,26,19,17,13,13,13,7,8,10,8,7,4,11,7,6,4,7,8,3,2,3,3,3,3,3,3,3,3,1,4,4,2,2,3,0,2,1,1,4,1,2,0,1,2,1,3,1,0,1,2,0,1
28,4247,829,378,217,151,111,87,63,52,37,58,28,21,25,26,23,23,13,16,10,12,12,11,11,7,14,7,5,6,9,7,7,4,2,2,4,6,3,10,4,4,3,7,2,5,8,2,5,4,1,3,2,0,3,4,5,3,0,1,6
29,3550,569,236,125,78,55,41,34,33,16,23,11,21,7,12,13,7,11,3,5,10,2,4,3,8,3,3,4,3,4,3,8,2,4,1,2,4,3,0,2,3,1,1,1,2,3,2,1,1,1,2,4,1,6,0,1,0,0,2,0
30,2832,486,212,96,88,53,46,37,22,20,25,18,13,14,11,11,13,9,8,6,6,4,6,1,7,5,8,5,0,4,4,1,4,1,1,4,3,0,2,1,1,1,0,2,0,3,0,3,2,2,2,1,1,0,2,2,2,1,1,0
31,2902,474,217,116,72,62,52,23,25,20,22,12,17,16,18,4,6,11,7,3,6,2,6,6,7,3,8,4,7,4,3,1,0,3,4,3,2,1,3,1,0,0,2,1,0,2,2,2,2,1,3,0,0,1,1,2,1,1,2,3
32,2681,434,174,111,67,61,43,37,36,32,24,17,18,21,10,17,11,7,11,8,10,4,4,5,6,8,1,5,5,3,2,6,7,6,1,2,2,2,3,4,1,4,0,1,1,3,4,2,3,1,0,3,1,1,1,1,2,2,0,1
33,2635,455,196,99,58,40,42,42,19,16,18,19,14,14,9,9,5,9,8,6,7,2,3,7,6,2,5,6,3,5,2,2,4,0,2,7,1,2,1,2,0,1,0,3,3,1,0,2,1,2,0,0,1,0,1,1,1,3,3,2
34,2388,392,188,121,56,44,34,28,23,29,20,22,12,11,7,12,15,14,9,4,7,5,9,2,2,2,6,6,3,2,2,3,3,2,2,3,7,3,0,3,2,4,1,2,2,0,4,2,0,4,2,0,1,0,1,2,0,0,2,4
35,2056,370,177,103,54,30,34,37,25,22,6,17,22,8,8,12,8,5,8,1,6,6,4,5,3,2,0,3,4,5,4,6,2,2,1,2,2,3,1,4,3,2,4,1,2,0,0,1,0,1,2,2,1,2,2,2,0,0,3,2
