0.42,0.84,1.26,1.68,2.1,2.52,2.94,3.36,3.78,4.2,1165,248,112,61,60,37,30,27,16,17,,
0.43,0.86,1.29,1.72,2.15,2.58,3.01,3.44,3.87,4.3,1122,307,128,60,45,34,15,19,23,17,,
0.44,0.88,1.32,1.76,2.2,2.64,3.08,3.52,3.96,4.4,1.14E+03,271,101,82,74,39,29,30,16,17,,
0.45,0.9,1.35,1.8,2.25,2.7,3.15,3.6,4.05,4.5,1030,229,105,64,45,34,26,26,19,15,,
0.46,0.92,1.38,1.84,2.3,2.76,3.22,3.68,4.14,4.6,1056,242,115,66,63,37,16,21,16,11,,
0.47,0.94,1.41,1.88,2.35,2.82,3.29,3.76,4.23,4.7,9.38E+02,232,82,68,51,35,26,29,17,10,,
0.48,0.96,1.44,1.92,2.4,2.88,3.36,3.84,4.32,4.8,9.09E+02,228,100,67,42,33,21,15,15,19,,
0.49,0.98,1.47,1.96,2.45,2.94,3.43,3.92,4.41,4.9,9.01E+02,229,85,48,49,30,12,15,19,11,,
0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,919,227,89,53,42,28,22,21,15,14,,
0.51,1.02,1.53,2.04,2.55,3.06,3.57,4.08,4.59,5.1,836,215,87,54,42,30,22,21,16,11,,
0.52,1.04,1.56,2.08,2.6,3.12,3.64,4.16,4.68,5.2,851,215,81,72,31,28,21,11,17,9,,
0.53,1.06,1.59,2.12,2.65,3.18,3.71,4.24,4.77,5.3,795,209,104,64,40,28,22,14,16,10,,
0.54,1.08,1.62,2.16,2.7,3.24,3.78,4.32,4.86,5.4,833,224,78,53,40,17,27,12,14,11,,
0.55,1.1,1.65,2.2,2.75,3.3,3.85,4.4,4.95,5.5,817,178,78,52,47,38,23,13,12,5,,
0.56,1.12,1.68,2.24,2.8,3.36,3.92,4.48,5.04,5.6,839,181,94,62,45,27,23,20,18,10,,
0.57,1.14,1.71,2.28,2.85,3.42,3.99,4.56,5.13,5.7,764,205,93,68,26,25,21,21,13,11,,
0.58,1.16,1.74,2.32,2.9,3.48,4.06,4.64,5.22,5.8,822,180,86,47,34,23,23,18,16,15,,
0.59,1.18,1.77,2.36,2.95,3.54,4.13,4.72,5.31,5.9,789,191,69,68,41,24,21,9,10,8,,
0.6,1.2,1.8,2.4,3,3.6,4.2,4.8,5.4,6,778,193,81,59,33,23,16,16,16,7,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
