0,0,0,0
1,11425600,1,10000000
2,3659500,1001,9990.00999
3,3658510,2001,4997.501249
4,3658030,3001,3332.222592
5,3656240,4001,2499.375156
6,1729400,5001,1999.60008
7.00E+00,1726670,6001,1666.388935
8,1.73E+06,7001,1428.367376
9.00E+00,1725790,8001,1249.84377
1.00E+01,8.12E+05,9001,1110.987668
1.10E+01,8.12E+05,10001,999.90001
12,811468,11001,909.008272
13,811022,12001,833.2638947
14,648227,13001,769.1716022
15,648198,14001,714.2346975
16,647504,15001,666.6222252
17,647383,16001,624.9609399
18,647105,17001,588.2006941
19,646644,18001,555.5246931
20,646220,19001,526.2880901
21,645233,20001,499.9750012
22,401525,21001,476.1678015
23,400589,22001,454.5247943
24,399988,23001,434.7637059
25,399294,24001,416.6493063
26,354243,25001,399.9840006
27,354058,26001,384.6005923
28,353384,27001,370.3566535
29,353104,28001,357.1301025
30,319051,29001,344.815696
31,318499,30001,333.3222226
32,318457,31001,322.5702397
33,317842,32001,312.4902347
34,317840,33001,303.0211206
35,317763,34001,294.1089968
36,317576,35001,285.7061227
37,317559,36001,277.7700619
38,244992,37001,270.2629659
39,244759,38001,263.1509697
40,244341,39001,256.403682
41,244300,40001,249.9937502
42,244293,41001,243.8964903
43,2.44E+05,42001,238.0895693
44,243512,43001,232.5527313
45,243507,44001,227.2675621
4.60E+01,1.98E+05,45001,222.2172841
4.70E+01,1.98E+05,46001,217.3865786
4.80E+01,1.98E+05,47001,212.7614306
49,197356,48001,208.3289931
50,186451,49001,204.0774678
51,186373,50001,199.9960001
52,186054,51001,196.0745868
53,186030,52001,192.3039942
54,185975,53001,188.6756854
55,185819,54001,185.1817559
56,185798,55001,181.8148761
57,185555,56001,178.5682399
58,176429,57001,175.4355187
59,176228,58001,172.4108205
60,176106,59001,169.4886527
61,175909,60001,166.6638889
62,158933,61001,163.9317388
63,158238,62001,161.2877212
64,158222,,
65,158133,,
66,158036,,
67,1.58E+05,,
6.80E+01,1.58E+05,,
6.90E+01,1.57E+05,,
70,127449,,
71,127086,,
72,126968,,
73,126811,,
74,126694,,
7.50E+01,126689,,
76,126478,,
77,1.26E+05,,
78,126394,,
79,126378,,
80,126265,,
81,126196,,
8.20E+01,121561,,
83,121343,,
84,121286,,
85,121191,,
8.60E+01,121180,,
87,1.21E+05,,
8.80E+01,120943,,
89,1.21E+05,,
9.00E+01,1.09E+05,,
9.10E+01,1.09E+05,,
9.20E+01,1.09E+05,,
9.30E+01,1.09E+05,,
9.40E+01,1.09E+05,,
9.50E+01,1.09E+05,,
9.60E+01,1.09E+05,,
9.70E+01,1.08E+05,,
9.80E+01,9.89E+04,,
9.90E+01,9.89E+04,,
100,98731,,
101,98625,,
102,93794,,
103,93692,,
104,93041,,
105,92844,,
106,92802,,
107,92789,,
108,92767,,
109,92482,,
110,88116,,
111,88053,,
112,87889,,
113,87698,,
114,85682,,
115,85662,,
116,85306,,
117,85139,,
118,85107,,
119,84935,,
120,84787,,
121,84409,,
122,79465,,
123,79417,,
124,79365,,
125,79265,,
126,79258,,
127,79094,,
128,78992,,
129,78875,,
130,77716,,
131,77598,,
132,77547,,
133,77473,,
134,77392,,
135,77112,,
136,77036,,
137,76952,,
138,70827,,
